time_index,mean,std,rms,max,anomaly_iforest,anomaly_autoencoder
0,-0.09286718139648438,0.07916906042761346,0.12263225280280157,0.701,1,0
1,-0.09281786499023437,0.07829207790930202,0.12206851071170258,0.581,1,0
2,-0.09486425170898437,0.07851446937847381,0.12373698003536164,0.549,1,0
3,-0.094414306640625,0.07925156397812597,0.12388322364463211,0.535,0,0
4,-0.09437171020507812,0.07895208711595544,0.12362326861365788,0.471,1,0
5,-0.09554075317382812,0.07919755769567538,0.1248003632613544,0.703,1,0
6,-0.08471989135742188,0.07938312954884974,0.11934000384336337,0.439,1,0
7,-0.0950694580078125,0.07839975663054015,0.12386585446499673,0.623,1,0
8,-0.09009951782226562,0.07831979265660682,0.12060649856594746,0.579,1,0
9,-0.09221981201171875,0.07879359772955209,0.12198226799848692,0.479,1,0
10,-0.09702650756835937,0.07828566131116228,0.1254156384951669,0.391,1,0
11,-0.09224813232421875,0.07894810144727135,0.12216645438959502,0.437,1,0
12,-0.0938651123046875,0.07798129830122104,0.12260470090133359,0.535,1,0
13,-0.09439154052734375,0.07831408282761824,0.12326219102716131,0.43,1,0
14,-0.09380099487304688,0.0782918771683782,0.12280988121909746,0.432,1,0
15,-0.09370878295898438,0.08023300837720085,0.12396372910667541,0.598,0,0
16,-0.09419055175781249,0.07905049714892615,0.12358240229195257,0.515,1,0
17,-0.09457894287109375,0.07983289401777781,0.12433995501874086,0.532,0,0
18,-0.09397317504882813,0.07972058931608147,0.12383847090553364,0.483,0,0
19,-0.08441500854492187,0.07942639981613558,0.11940347636160485,0.488,1,0
20,-0.09404912109375,0.07947546059372446,0.12372332128379107,0.574,0,0
21,-0.09395408935546876,0.08012670295520671,0.12405289113843614,0.515,0,0
22,-0.09346458129882812,0.07982819716289095,0.12353306162996945,0.596,1,0
23,-0.09890688476562501,0.08092646033605311,0.12899362942837708,0.435,1,0
24,-0.11002233886718749,0.0807934732262466,0.14425237042943773,0.491,0,0
25,-0.09312568969726562,0.07989995816340825,0.12338133450742857,0.547,1,0
26,-0.09385553588867188,0.07976243291829913,0.12381306397465097,0.591,0,0
